"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,";"buzzardLabel";15;"";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
4;"";"Version1.0.0.";1;"";;;
5;"G***";"Logo-Front-Soldered-3.5mm";1;"LOGO";;;
6;"G***";"Symbol-Front-Movement";1;"LOGO";;;
7;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
8;"G***";"Symbol-Front-Axis";1;"LOGO";;;
9;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
10;"K1,K3";"easyC-connector";2;"easyC-SMD";;;
11;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
12;"K4";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
13;"U2";"LSM6DSO32TR";1;"LSM6DSO32TR";;;
14;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
15;"R2,R5,R3,R4,R1";"0603R";5;"10k";;;
16;"C4,C3";"0603C";2;"2.2uF";;;
17;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
18;"JP5";"SMD_JUMPER_3_PAD_CONNECTED_RIGHT";1;"JUMPER_3_RIGHT";;;
19;"JP3";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
20;"U3";"SOT-23-5";1;"SE5218";;;
21;"U1";"SOT-363";1;"NMOS-DUAL";;;
22;"C2,C1";"0603C";2;"0.1uF";;;
23;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
24;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
